run_id,company_id,asset_id,company_name,asset_name,sector,technology,country_iso2,net_present_value_baseline,net_present_value_shock,net_present_value_difference,net_present_value_change
3177e093-31de-4518-92de-1532aee9425b,101,101,101,101,Power,CoalCap,MN,214948623.41557086,15034232.581432836,-199914390.834138,-0.9300566231012031
3177e093-31de-4518-92de-1532aee9425b,102,102,102,102,Power,RenewablesCap,MN,110112406.27027604,125164255.14301749,15051848.872741446,0.13669530421300558
3177e093-31de-4518-92de-1532aee9425b,103,103,103,103,Coal,Coal,MN,3751002300.45797,382976265.2434129,-3368026035.214557,-0.8979002851593415
3177e093-31de-4518-92de-1532aee9425b,104,104,104,104,Power,RenewablesCap,MN,352114115.39903104,400246461.5211952,48132346.12216413,0.13669530421300624
3177e093-31de-4518-92de-1532aee9425b,105,105,105,105,Coal,Coal,MN,553527781.4399637,56515028.64140265,-497012752.79856104,-0.8979002851593415
3177e093-31de-4518-92de-1532aee9425b,106,106,106,106,Power,CoalCap,MN,10528282.176075088,773871.8178521097,-9754410.358222978,-0.9264959083628392
3177e093-31de-4518-92de-1532aee9425b,107,107,107,107,Coal,Coal,MN,383211540.99689794,39125789.059432596,-344085751.9374653,-0.8979002851593414
3177e093-31de-4518-92de-1532aee9425b,108,108,108,108,Coal,Coal,MN,1490267.1038768257,152155.84634223793,-1338111.2575345878,-0.8979002851593415
3177e093-31de-4518-92de-1532aee9425b,109,109,109,109,Coal,Coal,MN,1117058965.3786368,117577511.47040601,-999481453.9082308,-0.8947436839822039
3177e093-31de-4518-92de-1532aee9425b,110,110,110,110,Coal,Coal,MN,7451335.519384129,760779.2317111896,-6690556.28767294,-0.8979002851593415
3177e093-31de-4518-92de-1532aee9425b,111,111,111,111,Coal,Coal,MN,82640060.9156656,8569716.65592719,-74070344.2597384,-0.8963006977369896
3177e093-31de-4518-92de-1532aee9425b,112,112,112,112,Coal,Coal,MN,7451335.519384129,760779.2317111896,-6690556.28767294,-0.8979002851593415
36a6304c-4f4c-45ea-b3a3-455f13ad750d,101,101,101,101,Power,CoalCap,MN,231500635.46236008,15291635.505497802,-216208999.95686227,-0.9339456003005914
36a6304c-4f4c-45ea-b3a3-455f13ad750d,102,102,102,102,Power,RenewablesCap,MN,113068437.49976969,128238469.82945031,15170032.329680622,0.13416681670967215
36a6304c-4f4c-45ea-b3a3-455f13ad750d,103,103,103,103,Coal,Coal,MN,4121969927.1100864,724400231.8050396,-3397569695.305047,-0.8242587295359245
36a6304c-4f4c-45ea-b3a3-455f13ad750d,104,104,104,104,Power,RenewablesCap,MN,361566822.4710228,410077092.06979114,48510269.59876835,0.13416681670967234
36a6304c-4f4c-45ea-b3a3-455f13ad750d,105,105,105,105,Coal,Coal,MN,608270719.7052174,106898269.0670925,-501372450.6381249,-0.8242587295359245
36a6304c-4f4c-45ea-b3a3-455f13ad750d,106,106,106,106,Power,CoalCap,MN,11609358.03180739,1462411.6391357968,-10146946.392671593,-0.8740316531604011
36a6304c-4f4c-45ea-b3a3-455f13ad750d,107,107,107,107,Coal,Coal,MN,421110498.2574581,74006493.96952552,-347104004.2879326,-0.8242587295359245
36a6304c-4f4c-45ea-b3a3-455f13ad750d,108,108,108,108,Coal,Coal,MN,1637651.937667893,287803.03210371046,-1349848.9055641824,-0.8242587295359245
36a6304c-4f4c-45ea-b3a3-455f13ad750d,109,109,109,109,Coal,Coal,MN,1229528116.5561023,226758132.81525967,-1002769983.7408426,-0.8155730399639763
36a6304c-4f4c-45ea-b3a3-455f13ad750d,110,110,110,110,Coal,Coal,MN,8188259.688339466,1439015.1605185529,-6749244.527820913,-0.8242587295359245
36a6304c-4f4c-45ea-b3a3-455f13ad750d,111,111,111,111,Coal,Coal,MN,90888483.35504448,16374338.67067952,-74514144.68436496,-0.819841435721672
36a6304c-4f4c-45ea-b3a3-455f13ad750d,112,112,112,112,Coal,Coal,MN,8188259.688339466,1439015.1605185529,-6749244.527820913,-0.8242587295359245
