shock_year,sector,term,mean_pd_baseline,mean_pd_shock
2025,Coal,1,6.45720563629687e-4,0.09153897413861191
2025,Coal,2,0.008756174304558245,0.1457038170134897
2025,Coal,3,0.02264022261200767,0.18179233674949585
2025,Coal,4,0.03790492160054901,0.20918482256983742
2025,Coal,5,0.052924116601393165,0.2311251437265551
2025,Power,1,0,6.38378239159465e-14
2025,Power,2,2.1248069970170036e-10,2.3909892954421252e-9
2025,Power,3,1.5089241517385332e-7,1.2119944425847962e-7
2025,Power,4,4.184230566139924e-6,2.255394499689478e-6
2025,Power,5,3.143877524960925e-5,1.773256346182528e-5
2030,Coal,1,6.45720563629687e-4,0.08837556501048134
2030,Coal,2,0.008756174304558245,0.14219511226641646
2030,Coal,3,0.02264022261200767,0.17813351544961015
2030,Coal,4,0.03790492160054901,0.205494726259919
2030,Coal,5,0.052924116601393165,0.22746999571837062
2030,Power,1,0,2.7755575615628914e-17
2030,Power,2,2.1248069970170036e-10,7.49361961371875e-11
2030,Power,3,1.5089241517385332e-7,5.715416767637649e-8
2030,Power,4,4.184230566139924e-6,1.971962471258859e-6
2030,Power,5,3.143877524960925e-5,1.714484599057986e-5
